,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph
2216,1084How does a human body's immune system respond to a virus?,1084,What are the steps involved in growing a pumpkin?,Natural Sciences,Biomedical and Health Sciences,How does a human body's immune system respond to a virus?,Biomedical and Health Sciences,"(seeds, planted in, soil) like (antibodies, produced in, blood). (sunlight, nourishes, pumpkin plants) like (antiviral medication, nourishes, immune system). (water, helps, pumpkins grow) like (white blood cells, helps, fight infection)","Growing a pumpkin involves several steps. The first step is to plant the pumpkin seeds in soil. The soil must be well-drained and rich in nutrients. Sunlight is essential for the pumpkin plants to grow, as it helps to nourish them. The plants will also need to be watered regularly so that the pumpkins can grow. Water helps to keep the pumpkins hydrated and helps the plants to grow larger.","When a virus enters the body, the immune system responds by producing antibodies in the blood. These antibodies help to recognize and attack the virus. Antiviral medication can be taken to nourish the immune system and help it to fight the virus. White blood cells are also important in helping to fight the infection."
2217,690Describe the process of pollination.,690,Describe the process of planting crops.,Natural Sciences,Natural Sciences,Describe the process of pollination.,Botany,"(seeds, planted, soil) like (pollen, transferred, flower). (water, supplied, roots) like (bee, collects, nectar). (fertilizer, added, earth) like (wind, carries, pollen)","The process of planting crops begins with the planting of seeds in soil. Once the seeds are planted, water is supplied to the roots in order to ensure that the plant grows healthy. Fertilizer is also added to the earth to help the plant grow. The fertilizer helps to provide the necessary nutrients for the plant to thrive.","Pollination is the process by which pollen is transferred from one flower to another. Bees play an important role in pollination as they collect nectar from the flower and transport the pollen from one flower to another. Wind can also be a factor in pollination, as it can carry the pollen from one flower to another."
2222,13What happens during the human reproductive cycle?,13,What happens during the water cycle?,Natural Sciences,Biomedical and Health Sciences,What happens during the human reproductive cycle?,Biomedical and Health Sciences,"(evaporation, transfers, water vapor) like (ovulation, transfers, egg). (precipitation, collects, water molecules) like (fertilization, collects, sperm). (condensation, forms, clouds) like (implantation, forms, embryo)","The water cycle is a continuous cycle of water molecules moving from one form to another. During the cycle, evaporation occurs, transferring water molecules from the liquid state to a water vapor form in the atmosphere. As the water molecules rise, they cool and condensation forms clouds. Eventually, precipitation collects the water molecules and they fall back to the ground in the form of precipitation such as rain, hail, and snow.","The reproductive cycle begins with ovulation, when the egg is transferred from the ovary to the fallopian tube. The sperm then collects the egg and fertilization occurs. After fertilization, the egg travels to the uterus where implantation takes place and an embryo is formed."
2230,1047How do plants use photosynthesis?,1047,How do you use a dishwasher?,Engineering,Natural Sciences,How do plants use photosynthesis?,Biology,"(soap, cleans, dishes) like (chlorophyll, absorbs, light). (water, rinses, dishes) like (carbon dioxide, supplies, energy). (heat, sanitizes, dishes) like (water, releases, oxygen)","Using a dishwasher is simple. First, fill the detergent dispenser with soap. The soap will help to clean the dishes during the wash cycle. Then, fill the dishwasher with dishes. The water that is pumped into the dishwasher will rinse the dishes and remove any remaining soap residue. Finally, the heat generated during the drying cycle will sanitize the dishes, leaving them ready for use.","Photosynthesis is a process in which plants use light energy to convert carbon dioxide into energy-rich sugars. Chlorophyll, the pigment present in plants, absorbs light energy from the sun and uses it to break down carbon dioxide molecules. The energy is obtained from the carbon dioxide molecules and water is needed to release oxygen as a byproduct in the process."
2233,548How does a mechanical system of a generator work?,548,Describe how the liver works,Biomedical and Health Sciences,Engineering,How does a mechanical system of a generator work?,Mechanical Engineering,"(kidney, filters, blood) like (generator, transforms, energy). (glomerulus, produces, urine) like (rotor, produces, electricity). (tubules, absorb, waste) like (stator, converts, mechanical force)","The liver is responsible for filtering and cleansing the body's blood. It receives filtered blood from the kidney and removes toxins and other waste from the blood. The glomerulus in the kidney produces urine, which is then sent to the tubules, where waste is absorbed and removed from the body. The liver also helps to break down food and regulate the body's metabolism.",A generator is a mechanical system that transforms energy from one form to another. The rotor of the generator produces electricity when it spins. The stator is responsible for converting mechanical force from the rotor into electrical energy. This energy is then transformed into electricity and sent to the electrical outlets.
2234,1094How do different cultures view family structure?,1094,How is a white dwarf star formed?,Natural Sciences,Social Sciences,How do different cultures view family structure?,Social Sciences,"(gravitational force, attracts, gas and dust) like (social norms, attracts, behavior). (hydrogen, fuses, helium) like (values, fuses, actions). (nuclear fusion, produces, heat) like (interactions, produces, emotions)","A white dwarf star is formed when a star runs out of fuel. The gravitational force of the star attracts gas and dust from its surroundings. The hydrogen in the gas and dust fuses together to form helium, releasing energy in the process. This process of nuclear fusion produces heat, which helps to balance the gravitational force of the star.","Different cultures have distinct social norms that attract particular behaviors. These values fuse together and influence the actions that families take. Interactions between family members produce various emotions, which shape how different cultures view family structure."
2240,1266How does a person build a strong relationship?,1266,How does a bird build a nest?,Natural Sciences,Social Sciences,How does a person build a strong relationship?,Social Psychology,"(bird, collects, twigs) like (person, communicates, feelings). (bird, arranges, twigs) like (person, shares, interests). (bird, weaves, nest) like (person, builds, trust)","A bird builds a nest by first collecting twigs and other materials. The bird then arranges these twigs in a cup-like shape. Finally, the bird weaves the twigs together in an interlocking pattern to form the nest. This process requires skill and precision, as the twigs must be woven tightly together in order to create a secure structure.","Building a strong relationship requires a person to communicate their feelings to the other person. By expressing one's feelings, they establish a connection that helps to deepen the relationship. A person should also share their interests and values with the other person. This helps to create a deeper understanding of each other and allows both people to relate to one another. Finally, a person should build trust by being honest and open with the other person. This creates a safe environment for both parties and allows them to feel comfortable with one another."
2247,1094How does a virus replicate?,1094,How is a white dwarf star formed?,Natural Sciences,Biomedical and Health Sciences,How does a virus replicate?,Biomedical and Health Sciences,"(gravity, compresses, gases) like (enzyme, activates, proteins) . (temperature, increases, density) like (inhibitor, decreases, replication rate) . (nuclear fusion, creates, energy) like (binding, creates, new strands)","A white dwarf star is formed when gravity compresses a cloud of gases. The gases become incredibly dense, and the temperature of the star begins to rise. The temperature increases to such a point that nuclear fusion occurs, creating energy and a white dwarf star.","The replication of viruses is done through an enzyme that activates the proteins in the virus. These proteins allow for new strands of the virus to be created through the process of binding. However, the presence of inhibitors can decrease the replication rate of the virus."
2248,207How does photosynthesis work?,207,How do muscles work?,Biomedical and Health Sciences,Natural Sciences,How does photosynthesis work?,Biology,"(muscles, contract, body) like (chloroplasts, absorb, light). (muscles, release, energy) like (chloroplasts, produce, glucose). (muscles, generate, force) like (chloroplasts, generate, oxygen)","Muscles are responsible for the movement of the body. When the muscles contract, they release energy that is used to generate force. This force is used to move the body in a certain direction. The muscles also produce heat, which helps to regulate body temperature. When the muscles relax, they release energy and the force they are generating decreases.","Photosynthesis is the process that allows plants to make their own food. It involves the absorption of light energy by chloroplasts in order to produce glucose, which is used as a source of energy. Additionally, the chloroplasts generate oxygen as a by-product of the process."
2254,547How does a biological system of photosynthesis work?,547,Describe how kidneys work,Biomedical and Health Sciences,Natural Sciences,How does a biological system of photosynthesis work?,Biology,"(kidneys, filter, blood) like (chloroplasts, convert, light energy). (glomerulus, remove, toxins) like (stomata, absorb, carbon dioxide). (urine, excrete, waste products) like (sugar, produce, energy)","The kidneys filter the blood, removing waste products, toxins, and extra water. This process is done by the glomerulus, a network of tiny blood vessels in the kidney. After the toxins are removed, the remaining liquid is excreted as urine, carrying the waste products out of the body.","Photosynthesis is a biological process in which chloroplasts convert light energy from the sun into chemical energy. The stomata of the plant absorb carbon dioxide from the atmosphere, which is used in the process of photosynthesis. This energy is then used to produce sugar molecules, which can be used by the plant for energy."
2263,1105How does a bridge support a heavy load?,1105,How do mountains form?,Natural Sciences,Engineering,How does a bridge support a heavy load?,Civil Engineering,"(tectonic plates, move against, each other) like (steel beams, support, weight). (landmass, buckle, upward) like (cables, suspend, bridge deck). (magma, cools, hardens) like (concrete, hardens, structural stability)","Mountains form when tectonic plates move against each other. The pressure between the two plates causes the landmass to buckle upward. Sometimes, magma rises to the surface due to these movements and cools, hardening and forming mountains.","Steel beams are used to support the weight of the bridge. Cables are used to suspend the bridge deck from the steel beams. Concrete is poured around the steel beams to provide structural stability and harden the bridge. The combination of steel beams, cables, and concrete ensures that the bridge can sustain heavy loads."
2266,936How does pollution affect the environment?,936,What happens during erosion by the ocean?,Natural Sciences,Social Sciences,How does pollution affect the environment?,Social Sciences,"(waves, erode, shoreline) like (pollutants, contaminate, air). (currents, transport, sediment) like (fumes, spread, toxins). (rock, disintegrate, particles) like (chemicals, degrade, soil)",The waves of the ocean erode the shoreline as they continually hit the shore. The currents of the ocean transport sediment which can scrape away the surface of the rock and cause it to disintegrate into particles. The particles are then transported away by the ocean currents and further contribute to the erosion of the shoreline.,"Pollutants released into the environment can contaminate the air that we breathe. Fumes from industrial factories can spread toxins into the air, causing air pollution. Chemicals from factories and cars can also degrade the soil, making it unable to support life. All of these factors contribute to the overall degradation of the environment, making it difficult for us to survive."
2271,1291Describe how to conduct a survey.,1291,Describe how to make pancakes.,Engineering,Social Sciences,Describe how to conduct a survey.,Social Sciences,"(mix, combine, ingredients) like (gather, combine, data). (heat, cook, batter) like (analyze, interpret, results). (flip, turn, pancake) like (assess, evaluate, outcomes)","Making pancakes is a simple process. First, mix the dry ingredients together and then combine them with wet ingredients to create a batter. Next, heat a greased pan and pour the batter into the pan. Cook the pancake for a few minutes until the edges begin to turn golden brown, then flip the pancake to cook the other side. Finally, turn the pancake to ensure it is cooked through before transferring it to a plate.","To conduct a survey, you must first gather the data. This data can be collected through a variety of methods, such as questionnaires, interviews and observations. Once the data is collected, it should be combined to form a cohesive set of information. Then, the data can be analyzed and interpreted to understand the results and identify any trends. Finally, the outcomes should be assessed and evaluated to determine the effectiveness of the survey."
2280,1208How does a solar panel produce electricity?,1208,How does the internal combustion engine work?,Engineering,Social Sciences,How does a solar panel produce electricity?,Solar Engineering,"(spark plug, ignites, fuel-air mixture) like (solar cell, converts, sunlight). (piston, compresses, air-fuel mixture) like (photovoltaic cell, generates, electric current). (crankshaft, rotates, camshaft) like (solar panel, captures, solar energy)","The internal combustion engine is powered by an air-fuel mixture that is ignited by a spark plug. The spark plug initiates a combustion process that causes the piston to compress the air-fuel mixture. This compression creates pressure, which forces the piston to move downward. This movement causes the crankshaft to rotate, which in turn rotates the camshaft. As the camshaft rotates, the valves open and close to allow the air-fuel mixture to enter and exit the engine.","A solar panel is composed of several solar cells that capture the solar energy from the sunlight. Each solar cell is made of a photovoltaic material that converts the sunlight into electric current. The photovoltaic cells generate an electric current when they absorb the sunlight, which is then captured by the solar panel and used to produce electricity."
2286,676Describe the process of aging,676,Describe the process of fossilization,Natural Sciences,Biomedical and Health Sciences,Describe the process of aging,Biomedical and Health Sciences,"(Organism, decomposes, sediment) like (Cells, deteriorate, tissues). (Bone, petrifies, rock) like (Organ, degenerates, organ systems). (Fossils, preserves, ancient organisms) like (Disease, debilitates, functioning organs)","The process of fossilization begins when an organism decomposes and its remains become part of the sediment. Over time, the bone and other remains of the organism are petrified into the rock. The fossilization process preserves the remains of ancient organisms and creates fossils. These fossils provide evidence of the existence of ancient organisms and can offer insight into their evolution.","The process of aging involves the deterioration of cells, which in turn affects tissues and organs. As the body ages, organ systems degenerate and organs no longer function as efficiently as they did in the past. Diseases can also debilitate functioning organs, further impacting the aging process."
2297,690Describe the process of building a bridge.,690,Describe the process of planting crops.,Natural Sciences,Engineering,Describe the process of building a bridge.,Civil Engineering,"(soil, tills, for planting) like (cement, mixes, for building). (seeds, sows, in the ground) like (rebar, places, for support). (water, irrigates, the field) like (steel beams, assembles, the structure)","The process of planting crops begins with tilling the soil. This is done to create a suitable environment for the seeds to be sown in the ground. Then, the seeds are sown in the ground and the field is irrigated with water to ensure the crops receive the necessary moisture levels. This process helps the crops to grow and eventually produce a successful harvest.","The process of building a bridge begins with mixing cement for the foundation. Rebar is then placed into the foundation to provide support. Once the foundation is set, steel beams are assembled to give the bridge its structure. These steel beams are connected together and secured with cement to form the bridge."
2298,645Describe the development of an infectious disease,645,Describe the life cycle of a human,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe the development of an infectious disease,Biomedical and Health Sciences,"(human, is born, newborn) like (virus, is transmitted, host). (human, grows, adult) like (virus, replicates, new particles). (human, ages, elderly) like (virus, evolves, resistant strain)","A human starts its life cycle when it is born. At this stage, the baby is classified as a newborn. As time passes, the human grows and develops until it reaches adulthood. The human then ages until it reaches the elderly stage, at which point the life cycle is complete.","The development of an infectious disease begins when a virus is transmitted to a host. Once inside the host, the virus replicates and creates new particles. These particles spread throughout the host, causing the disease to develop. Over time, the virus may evolve and develop a resistant strain, making it more difficult to treat."
2299,52How do contagious diseases spread?,52,How do earthquakes occur?,Natural Sciences,Biomedical and Health Sciences,How do contagious diseases spread?,Biomedical and Health Sciences,"(tectonic plates, shift and rub against, other plates) like (viruses, travel between, people). (stresses, build up, in the Earth) like (germs, accumulate, in an affected area). (cracks, form, in the ground) like (diseases, spread, from person to person)","Earthquakes occur when the tectonic plates that form the Earth's surface shift and rub against each other. The movement of the plates causes stresses to build up in the Earth. These stresses can cause cracks to form in the ground, releasing energy in the form of seismic waves.","Contagious diseases spread from person to person when viruses travel between people. Germs accumulate in an affected area, and can spread easily due to close contact. These germs can be passed from one person to another through physical contact, coughing, sneezing, and other means. The viruses can then spread quickly as they move from person to person, leading to an outbreak of the disease."
2302,917What causes a pandemic to occur?,917,What causes an earthquake to occur?,Natural Sciences,Biomedical and Health Sciences,What causes a pandemic to occur?,Biomedical and Health Sciences,"(tectonic plates, shift, seismic waves) like (viruses, spread, infection). (fault lines, rupture, seismic waves) like (carriers, transmit, pathogens). (stressed rock, release, energy) like (disease, release, symptoms)","An earthquake is caused by the shifting of tectonic plates and the rupture of fault lines. When the plates shift or the fault lines rupture, seismic waves are produced as a result. The movement of the tectonic plates and the rupture of the fault lines puts stress on the rock and when the stress gets too high, the rock releases its energy in the form of seismic waves.","A pandemic occurs when viruses spread an infection rapidly among a population.  These viruses can be transmitted by carriers, who may not even display any symptoms. Once they spread to a person, the virus can cause a disease that releases symptoms.  The severity of the symptoms can vary depending on the virus, but generally, if it spreads quickly enough, it can result in a pandemic."
2304,436How does a chemical reaction of photosynthesis occur?,436,How do you get water to boil?,Engineering,Natural Sciences,How does a chemical reaction of photosynthesis occur?,Biology,"(heat, increases, temperature) like (light, activates, reaction). (water, evaporates, steam) like (carbon dioxide, combines with, water). (steam, rises, surface) like (oxygen, is released, atmosphere)","In order to get water to boil, you must first increase the temperature. As the temperature rises, the water molecules gain energy and begin to move faster. This causes the water to evaporate, producing steam. This steam rises to the surface, creating bubbles and increasing the temperature even more until it reaches the boiling point.",The chemical reaction of photosynthesis is activated by light. The light energy is used to convert carbon dioxide and water into glucose and oxygen. The combination of carbon dioxide and water releases oxygen into the atmosphere. The glucose is used as an energy source for the plants.
2305,844How does a population of people interact?,844,How does an electromagnet work?,Engineering,Social Sciences,How does a population of people interact?,Sociology,"(coils, create, magnetic field) like (individuals, create, social network). (electric current, produces, an electromagnetic force) like (communication, produces, a relationship). (magnet, attracts, metal) like (influence, attracts, followers)","An electromagnet is a device that works on the principle of electromagnetism. It consists of coils of wire that, when an electric current is passed through them, create a magnetic field. This magnetic field produces an electromagnetic force that can attract any type of metal. The strength of the magnet depends on the strength of the electric current, which determines the strength of the magnetic field.","Individuals interact with each other to create a social network. Through communication, people share information and produce a relationship. Those with a strong influence tend to attract more followers. This type of interaction between individuals allows them to learn from each other and build a strong connection."
2310,530Describe the manufacturing process of a car,530,Describe the life cycle of a plant,Natural Sciences,Engineering,Describe the manufacturing process of a car,Manufacturing Engineering,"(seed, germinates, soil) like (metal, melts, furnace). (roots, absorb, nutrients) like (parts, assemble, machine). (flower, produces, pollen) like (paint, applies, body). (fruit, disperses, seeds) like (wheels, attach, frame)","The life cycle of a plant begins with the germination of a seed in the soil. Once the seed germinates, it develops roots that absorb nutrients from the soil. The plant then grows and produces flowers, which contain pollen. The pollen helps to fertilize the flowers, which in turn produces fruit. The fruit then contains the plant's seeds, which can be dispersed to help the plant reproduce.","The manufacturing process of a car begins with melting metal in a furnace. The molten metal is then cast into the needed parts, which are then assembled by a machine. The body of the car is then painted with a coat of paint. Finally, the wheels are attached to the frame of the car."
2311,493Describe the process of migration,493,Describe the process of hibernation,Natural Sciences,Social Sciences,Describe the process of migration,Sociology,"(animal, enters, hibernation state) like (people, enter, new country). (body temperature, decreases, level) like (income, decreases, amount). (heart rate, slows down, rate) like (movement, slows down, speed)","When an animal enters the hibernation state, its body temperature decreases to a lower level. Its heart rate also slows down significantly. The animal's metabolism decreases and it begins to conserve energy to survive the winter months. Its body temperature, heart rate, and metabolism all change in order to conserve energy, allowing the animal to survive the winter.","The process of migration involves people entering a new country. This often involves a decrease in income as well as a slowdown in the speed of movement. People may have to adjust to the laws and culture of their new home, as well as find jobs and places to live. The process of migration can be difficult, but for many people it is a necessary step for a better life."
2312,116How does the human immune system respond to a virus?,116,How are mountains formed?,Natural Sciences,Biomedical and Health Sciences,How does the human immune system respond to a virus?,Biomedical and Health Sciences,"(tectonic plates, collide, form mountains) like (antigens, trigger, immune response). (sediments, accumulate, form sedimentary rocks) like (antibodies, accumulate, form immunity). (volcanic eruptions, cause, mountains) like (viruses, cause, disease)","Mountains are formed when tectonic plates collide, causing the land to be pushed and folded. Over time, sediments accumulate and form sedimentary rocks. Volcanic eruptions can also cause mountains to form, as molten rock is forced out of the earth's surface.","When a virus enters the body, antigens on the surface of the virus trigger a response from the immune system. The body produces antibodies to fight the virus. These antibodies accumulate in the body and form immunity against the virus, making it easier to fight off any future infections. Viruses can cause a wide range of diseases, and the human immune system is our best defense against them."
2318,1099How do public health policies affect population health?,1099,How do vaccinations work?,Biomedical and Health Sciences,Social Sciences,How do public health policies affect population health?,Social Sciences,"(vaccine, strengthen, immunity) like (policies, promote, health). (antigens, stimulate, antibodies) like (programs, increase, access). (pathogens, block, immune system) like (laws, limit, exposure)",Vaccinations work by introducing weakened or dead versions of antigens into the body. These antigens stimulate the production of antibodies which strengthen the body's immunity against the pathogen. The antibodies created by the vaccine work to block the pathogen from entering and infecting the immune system.,"Public health policies seek to promote health and well-being for an entire population. Programs such as immunization initiatives or health screenings increase access to healthcare and reduce preventable diseases. Laws and regulations, such as food safety regulations or smoking bans, can limit exposure to health hazards and reduce the risk of certain illnesses."
2320,490Describe the process of decision making,490,Describe the process of digestion,Biomedical and Health Sciences,Social Sciences,Describe the process of decision making,Social Sciences,"(stomach, breaks down, food) like (mind, processes, information). (salivary glands, secrete, enzymes) like (brain, produces, ideas). (small intestine, absorbs, nutrients) like (people, consider, alternatives). (large intestine, eliminates, waste) like (society, discards, undesirable options)","The process of digestion begins when food is consumed. The stomach breaks down the food by using acids and enzymes. Salivary glands secrete enzymes that start to break down the food in the mouth. The small intestine then absorbs the nutrients from the broken down food. Finally, the large intestine eliminates the waste products from the digestion of the food.","Decision making is a process that involves the mind processing information to produce ideas. People consider alternatives and weigh the pros and cons of each option. Society will often discard undesirable options as they are not deemed beneficial. Ultimately, the individual will choose the most suitable option for their current situation."
2323,1219How does a social system of a tribe develop?,1219,How do forests form?,Natural Sciences,Social Sciences,How does a social system of a tribe develop?,Social Sciences,"(seeds, germinate, soil) like (ideas, propagate, society). (plants, grow, sunlight) like (culture, thrive, environment). (trees, provide, habitat) like (laws, provide, security)","Forests begin with the germination of seeds in the soil. These seeds grow into plants which need sunlight and water to survive and thrive. As the plants grow and mature, they gradually form a canopy of trees which provide a habitat for many species of animals.","Ideas propagate through the society, influencing the beliefs and values of the individuals in the tribe. The culture that develops is based on the environment in which the tribe is located, allowing it to thrive. Laws are created to provide the members with a sense of security and stability. Over time, the social system of the tribe develops, allowing them to build a cohesive and functioning community."
2324,1095How does a DNA sequence form a protein?,1095,How is a white dwarf star formed?,Natural Sciences,Natural Sciences,How does a DNA sequence form a protein?,Molecular Biology,"(gravitational force, compresses, gas molecules) like (codons, code for, amino acids). (hydrogen and helium, fuse, into helium) like (nucleotides, combine, into proteins). (heat, radiates, away from the core) like (enzyme, catalyzes, chemical reactions)","A white dwarf star is formed when a star runs out of fuel and its internal gravitational force compresses the gas molecules within it. The compression and high temperature cause the hydrogen and helium to fuse into helium. The heat generated from this process radiates away from the core of the star, causing the star to gradually cool.",A DNA sequence is composed of nucleotides that combine to form codons. These codons are responsible for coding for specific amino acids which then combine together to form proteins. An enzyme is then used to catalyze the chemical reactions that occur during this process.
2329,1333How does a human brain process information?,1333,How does a microwave oven work?,Engineering,Social Sciences,How does a human brain process information?,Cognitive Science,"(electromagnetic waves, penetrate, food) like (neurons, transmit, signals). (molecules, vibrate, rapidly) like (neurotransmitters, activate, pathways). (heat, generated, evenly) like (thought, generated, logically)","A microwave oven works by emitting electromagnetic waves that penetrate the food. These waves cause the molecules in the food to vibrate rapidly, generating heat. The heat is generated evenly throughout the food, making it warm and ready to eat.",Neurons transmit signals within the brain. These signals are then transmitted between neurons through the use of neurotransmitters that activate pathways. This process is what allows the brain to process information and generate thought logically.
2331,321Describe the process of building a structure.,321,Describe the process of planting crops.,Natural Sciences,Engineering,Describe the process of building a structure.,Structural Engineering,"(seeds, planted, soil) like (bricks, laid, foundation). (fertilizer, added, soil) like (reinforcement, added, concrete). (sunlight, provide, energy) like (electricity, provide, power)",The process of planting crops begins with the planting of the seeds in the soil. Fertilizer can be added to the soil to provide the necessary nutrients for the plants to grow. The soil should be adequately watered to ensure the seeds will germinate. Sunlight provides the energy needed for the plants to grow and develop.,"The process of building a structure begins with laying down a foundation of bricks. Reinforcement is then added to the concrete to increase its strength and stability. Finally, electricity is provided to power the tools needed to complete the structure."
2333,844How does a sociological study work?,844,How does an electromagnet work?,Engineering,Social Sciences,How does a sociological study work?,Sociology,"(electromagnet, creates, magnetic field) like (survey, creates, data). (electric current, flows through, coil) like (information, flows through, participants). (magnetic force, attracts, ferromagnetic material) like (findings, attracts, researchers)","An electromagnet creates a magnetic field when electric current flows through the coil. The electric current is passed through the coil and creates a magnetic field. This field is then used to attract ferromagnetic materials. The magnetic force of the electromagnet then attracts the ferromagnetic material, allowing it to be manipulated.",A sociological study is an investigation of social phenomena that involves the collection of data through surveys or interviews.  The survey creates data which is then analyzed to draw conclusions. The information flows through the participants of the study and is organized to identify patterns or trends. The findings of the study then attract researchers who can use the data to further their study.
2346,1127Describe the process by which a virus replicates.,1127,Describe the process by which hurricanes form.,Natural Sciences,Biomedical and Health Sciences,Describe the process by which a virus replicates.,Biomedical and Health Sciences,"(atmospheric pressure, drops, warm air) like (host cell, provides, nutrients). (warm ocean water, evaporates, moist air) like (viral proteins, attach to, host cell membrane). (moist air rises, forms, clouds) like (viral proteins, penetrate, host cell). (clouds, condense, rain) like (viral DNA, enters, host cell nucleus). (rain, falls, surface) like (viral DNA, replicates, new virus particles)","The process by which hurricanes form begins with a drop in atmospheric pressure. This low pressure causes warm air to rise, and the warmth of the ocean water causes it to evaporate and form into moist air. As the moist air rises, it forms clouds that condense and release rain. The rain then falls back to the surface, furthering the cycle of the hurricane's formation.","In order for a virus to replicate, it must first attach its viral proteins to the host cell membrane. These proteins penetrate the host cell, allowing the viral DNA to enter the host cell nucleus. Once inside the host cell, the virus is able to use the available nutrients in order to replicate its own DNA and create new virus particles. These new virus particles are released from the host cell, allowing the virus to spread and infect other cells."
2347,1061Describe the steps in creating a research paper.,1061,Describe the steps in launching a satelite into space.,Engineering,Social Sciences,Describe the steps in creating a research paper.,Social Sciences,"(rocket, launches, satellite) like (author, creates, paper). (rocket, is fueled, with fuel) like (research, is supported, with evidence). (satellite, orbits, Earth) like (paper, is written, in a style). (satellite, is tracked, by radar) like (paper, is reviewed, by experts)","The first step in launching a satellite into space is to fuel the rocket. The rocket is fueled with a combination of liquid oxygen and kerosene. Once the rocket is ready, it launches the satellite into orbit. The satellite orbits the Earth, and its progress is tracked by radar. This enables the satellite to be monitored and controlled as it travels through space.","The author creates a research paper on a certain topic. The research should be supported with evidence, such as academic sources and statistics. The paper should be written in an academic style and consistent with the standards of the professor or the academic journal. After the paper is written, it is then reviewed by experts in the field to check the accuracy of the paper and the validity of the research."
2351,252How does a bridge support its weight?,252,How do rings form inside the trunk of a tree?,Natural Sciences,Engineering,How does a bridge support its weight?,Structural Engineering,"(wood, grows around, tree trunk) like (steel, supports, bridge). (rings, signify, age) like (beams, signify, strength). (growth, increases, circumference) like (weight, increases, load)","Tree rings form from the wood growing around the tree trunk. Each ring signifies the age of the tree, with each growth season increasing the circumference of the tree trunk. The rings form due to the alternating layers of growth and dormancy in the tree's sapwood. The growth of the tree, during the spring and summer months, causes the circumference of the tree to increase, resulting in the formation of a new ring.","A bridge is usually supported by steel, which is a strong material that can easily support its weight. Beams are used to signify the strength of the bridge and are designed to handle the weight of the bridge. When weight is added to the bridge, it increases the load on the bridge, so the steel and beams must be able to support the additional weight."
2354,1217How does the immune system function?,1217,How do forests form?,Natural Sciences,Biomedical and Health Sciences,How does the immune system function?,Biomedical and Health Sciences,"(seeds, germinate, soil) like (antigens, activate, antibodies). (trees, grow, sunlight) like (white blood cells, reproduce, nourishment). (roots, anchor, soil particles) like (antibodies, bind, antigens)","Forests begin when seeds germinate in the soil and trees begin to grow. The trees need sunlight and nutrients from the soil to continue to grow and develop. Their roots anchor them to the soil and help them to absorb more nutrients and water. The trees create a canopy of leaves, trapping moisture and creating a shaded environment for other plants to thrive.","The immune system is responsible for recognizing and eliminating foreign substances in the body. When antigens are encountered, they activate certain antibodies in the body. The antibodies then bind to the antigen to mark them for destruction. White blood cells are also important for the immune system. They reproduce in response to nourishment to generate more antibodies. By binding to the antigens, the antibodies help to destroy them and protect the body from harm."
2355,619Describe how information is transmitted across the internet,619,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Social Sciences,Describe how information is transmitted across the internet,Social Sciences,"(oxygen, diffuses, cells) like (data, transmits, users). (lungs, inhale, oxygen) like (router, relays, packets). (blood, circulates, body) like (network, routes, connections)","Oxygen is inhaled into the lungs, where it diffuses into the blood. The oxygen-rich blood then circulates throughout the body and diffuses into the cells, allowing them to use oxygen for energy. This process allows oxygen to reach all the cells in the body.","Data is transmitted across the internet from one user to another. The network routes the connection, packets of data are sent to a router which relays them to the intended recipient. The router then forwards the packets to the correct recipient. This process continues until the data reaches its intended destination."
2360,699Describe the process of treating a patient with a broken bone,699,Describe the process of recycling an aluminum can,Engineering,Biomedical and Health Sciences,Describe the process of treating a patient with a broken bone,Biomedical and Health Sciences,"(aluminum can, collect, recycling center) like (patient, bring, hospital). (crush and melt, transform, raw material) like (set and cast, repair, broken bone). (manufacture, create, new products) like (surgery, restore, function of body parts)","The process of recycling an aluminum can starts with the collection of the can at a recycling center. The can is then crushed and melted down, transforming it into a raw material. This raw material is then used to manufacture new products, such as new cans or other aluminum products.","When a patient has a broken bone, they are typically brought to a hospital. The medical team will then set and cast the bone to repair it. In some cases, surgery may be necessary to restore the function of the body parts involved. Once the bone is repaired, the patient will be given instructions to help ensure a successful recovery."
2362,557How do you conduct a survey?,557,How do you make wine?,Natural Sciences,Social Sciences,How do you conduct a survey?,Social Sciences,"(grapes, ferment, juice) like (data, analyze, information). (yeast, convert, sugar) like (respondents, provide, insights). (barrels, store, wine) like (surveys, collect, feedback)","The process of making wine starts with fermenting grapes to make juice. Yeast is then added to the juice, which converts the sugars into alcohol. The wine is then aged in oak barrels for a period of time to improve flavor and mellow out the tannins. Finally, the wine is bottled and is ready to be enjoyed.","Conducting a survey is a great way to collect feedback and analyze data. The survey should be designed to get meaningful information from the respondents. Questions should be structured in a way that allows for the respondents to provide insights about the topic. By gathering this information, the survey can be used to analyze the data and extract valuable information."
